Unnamed: 0,additionalrooms,age,amenitiesavailable,amenitiesnot,area,balconies,bathroom,bhk,carpetarea,facing,floor,locality,neworold,opensides,overlooking,ownership,possesiondate,price,pricepersquare,projectname,roadfaceing,status,totalfloor
0,,2 - 3 years,"Lift Available,Car Parking,Power Backup,Indoor Games,Intercom,Landscaped Gardens,Gas connection","24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","1,611 sq ft",2,3,3 BHK Apartment ,1209 sq ft,West,"3, ",Deccan Gymkhana,New,2,Road View,Co-Operative Society,,27000000.0,"₹ 16,759/ sq ft ",Bhansali Prive Rio,40 feet,Ready to move,6
1,,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting","Children's play area,Sports Facility,Landscaped Gardens","1,279 sq ft",,2,2 BHK Apartment ,,NorthEast,1,Kharadi,New,,,Freehold,,7610050.0,"₹ 5,950/ sq ft ",Goel Ganga Platino,,Ready to move,
2,,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,670 sq ft,,1,1 BHK Apartment ,,NorthEast,1,Sus,New,,,Freehold,,4100000.0,"₹ 6,119/ sq ft ",Vilas Javdekar Yashwin,,Ready to move,
3,,2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting","Sports Facility,Landscaped Gardens",956 sq ft,,2,2 BHK Apartment ,615 sq ft,NorthEast,1,Bavdhan,New,,,Freehold,,5736000.0,"₹ 6,000/ sq ft ",Rohan Ishan,,Ready to move,
4,,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Gymnasium,Intercom,Rain Water Harvesting,Landscaped Gardens","Club House,Swimming Pool,Sports Facility,Jogging Track","1,706 sq ft",1,3,3 BHK Apartment ,1195 sq ft,West,"6, ",Deccan Gymkhana,New,2,Road View,Freehold,,29002000.0,"₹ 17,000/ sq ft ",Swojas Aavishkar,60 feet,Ready to move,9
5,,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Indoor Games,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens","Swimming Pool,Sports Facility,Jogging Track","1,015 sq ft",2,2,2 BHK Apartment ,,NorthEast,"2, ",Mundhwa,New,2,"Garden View, Pool View, Road View",Freehold,,4720765.0,"₹ 4,651/ sq ft ",PGD Pinnacle,,Ready to move,10
6,,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,"3,725 sq ft",,5,4 BHK Apartment ,,NorthEast,1,Viman Nagar,New,,,Freehold,,30172500.0,"₹ 8,100/ sq ft ",Marvel Piazza Phase 01,,Ready to move,
7,,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,ATM","Sports Facility,Landscaped Gardens",450 sq ft,,1,1 BHK Apartment ,,NorthEast,1,Baner,New,,,Freehold,,4000000.0,"₹ 8,889/ sq ft ",Puraniks Aldea Anexo,,Ready to move,
8,"3 rooms( study room, servant room, pooja room )",1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Jogging Track,Intercom,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Wardrobe,Refrigerator,Sofa,Washing Machine,Dining Table,Gas connection","Children's play area,Gymnasium,Swimming Pool,Sports Facility,AC,TV,Wifi,BED","1,650 sq ft",2,3,3 BHK Apartment ,1150 sq ft,West,"4, ",Law collage Road,Resale,2,"Corner, Garden View, Road View",Freehold,,24000000.0,"₹ 14,545/ sq ft ",Swojas Gulmohar,25 feet,"Ready to move,Unfurnished",6
9,,0 - 1 year,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Indoor Games,Jogging Track,Staff Quarter,Landscaped Gardens","Swimming Pool,Sports Facility",449 sq ft,1,1,1 BHK Apartment ,,NorthEast,"1, ",Mahalunge,New,2,"Road View, Garden View",Freehold,,2783351.0,"₹ 6,199/ sq ft ",Puraniks Aldea Espanola,,Ready to move,15
10,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,ATM",Landscaped Gardens,625 sq ft,1,1,1 BHK Apartment ,,NorthEast,"1, ",Mundhwa,New,2,"Road View, Garden View",Freehold,Nov 2019,3281250.0,"₹ 5,250/ sq ft ",Purva Silversands,,Under Construction,27
11,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,ATM",Landscaped Gardens,900 sq ft,1,1,2 BHK Apartment ,,NorthEast,"1, ",Mundhwa,New,2,"Road View, Garden View",Freehold,Nov 2019,4725000.0,"₹ 5,250/ sq ft ",Purva Silversands,,Under Construction,27
12,"2 rooms( study room, pooja room )",1 - 2 years,"Car Parking,Power Backup,24 X 7 Security,Children's play area,Jogging Track,Intercom","Lift Available,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,100 sq ft",1,2,2 BHK Apartment ,920 sq ft,East,"1, ",Deccan Gymkhana,Resale,2,"Corner, Garden View, Road View",,,20300000.0,"₹ 18,454/ sq ft ",Darode Matru Chhaya,25 feet,"Ready to move,Unfurnished",5
13,"3 rooms( study room, servant room, pooja room )",,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Gas connection","AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","3,300 sq ft",3,5,4 BHK Apartment ,2600 sq ft,West,"12, ",Bhukum,New,3,"Corner, Garden View, Pool View, Road View",Co-Operative Society,Mar 2018,18000000.0,"₹ 5,454/ sq ft ",Skyi Manas Lake,40 feet,Under Construction,12
14,,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens,Wifi,Gas connection","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED","1,305 sq ft",2,2,2 BHK Apartment ,966 sq ft,West,"2, ",Baner,New,2,"Corner, Garden View, Road View",Freehold,,9000000.0,"₹ 6,896/ sq ft ",Builder Orchid 10,50 feet,Ready to move,5
15,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Wifi","AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","1,500 sq ft",1,2,3 BHK Apartment ,1085 sq ft,NorthWest,"14, ",Hinjewadi,New,2,"Corner, Garden View, Pool View, Road View",Freehold,Dec 2018,9200000.0,"₹ 6,133/ sq ft ",Kasturi Eon Homes,50 feet,Under Construction,21
16,,,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,050 sq ft",2,2,2 BHK Apartment ,700 sq ft,,,Hadapsar,New,,,,,6000000.0,"₹ 5,714/ sq ft ",,,Ready to move,
17,,,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",575 sq ft,1,1,1 BHK Apartment ,,,,Hadapsar Gaon,Resale,,,,,3200000.0,"₹ 5,565/ sq ft ",Agarwal Constructions Pune Shri Krishna Complex,,"Ready to move,Unfurnished",
18,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Landscaped Gardens,School",Swimming Pool,600 sq ft,,,1 BHK Apartment ,,,,Sasane Nagar,Resale,,,,,2700000.0,"₹ 4,500/ sq ft ",Subhash Builder Vardhaman Township,,"Ready to move,Unfurnished",
19,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Golf Course,Cafeteria,Landscaped Gardens,AC","Sports Facility,Jogging Track,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED",900 sq ft,,,2 BHK Apartment ,,,,NIBM Annex Mohammadwadi,Resale,,,,,4300000.0,"₹ 4,777/ sq ft ",,,"Ready to move,Unfurnished",
20,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Golf Course,Cafeteria,Landscaped Gardens,Wardrobe,TV,Refrigerator,Sofa,Microwave,BED","Sports Facility,Jogging Track,AC,Wifi,Dining Table,Gas connection",675 sq ft,,,1 BHK Apartment ,,,,Salunke Vihar,Resale,,,,,3800000.0,"₹ 5,629/ sq ft ",,,"Ready to move,Furnished",
21,,6 - 7 years,"Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Lift Available,Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,100 sq ft",,,2 BHK Apartment ,,,,NIBM,Resale,,,,,5800000.0,"₹ 5,272/ sq ft ",,,"Ready to move,Unfurnished",
22,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Intercom,Golf Course,Cafeteria,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,AC,Wardrobe","TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","1,050 sq ft",,,2 BHK Apartment ,,,,NIBM,Resale,,,,,5800000.0,"₹ 5,523/ sq ft ",,,"Ready to move,Unfurnished",
23,,,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","2,857 sq ft",,, Residential Plot ,,,,Hadapsar,Resale,,,,,12400000.0,"₹ 4,340/ sq ft ",Builder amar shrusti,,Unfurnished,
24,,,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","7,700 sq ft",,, Residential Plot ,,,,Hadapsar,Resale,,,,,23100000.0,"₹ 3,000/ sq ft ",Builder amar shrusti,,Unfurnished,
25,,1 - 2 years,"Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Multipurpose Room","Lift Available,Power Backup,24 X 7 Security,Jogging Track,Landscaped Gardens",623 sq ft,,1,1 BHK Apartment ,,,,Wagholi,New,,,,,3200000.0,"₹ 5,136/ sq ft ",Anshul Kanvas,,Ready to move,
26,,2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,705 sq ft,,1,1 BHK Apartment ,,,,Pimpri,New,,,,,5000000.0,"₹ 7,092/ sq ft ",Mahindra Lifespaces Antheia,,Ready to move,
27,,0 - 1 year,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",375 sq ft,1,1,1 RK Apartment ,,,"3, ",Sasane Nagar,Resale,,,,,1600000.0,"₹ 4,266/ sq ft ",Builder om disha township,,"Ready to move,Unfurnished",3
28,,0 - 1 year,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",750 sq ft,1,1,1 BHK Apartment ,,,"3, ",Sasane Nagar,Resale,,,,,3100000.0,"₹ 4,133/ sq ft ",Builder om disha township,,"Ready to move,Unfurnished",3
29,,3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens",Sports Facility,"1,850 sq ft",,,3 BHK Apartment ,,,,Hadapsar,Resale,,,,,20000000.0,"₹ 10,810/ sq ft ",Kumar Picasso,,"Ready to move,Unfurnished",
30,,10 - 11 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Golf Course,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Microwave,Dining Table,BED","Wifi,Gas connection","1,554 sq ft",,,3 BHK Apartment ,,,,Kondhwa,Resale,,,,,8500000.0,"₹ 5,469/ sq ft ",,,"Ready to move,Furnished",
31,,7 - 8 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Golf Course,Cafeteria,Staff Quarter,Multipurpose Room,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Microwave,BED","Gymnasium,Wifi,Dining Table,Gas connection","1,650 sq ft",,,3 BHK Apartment ,,,,Undri,Resale,,,,,8600000.0,"₹ 5,212/ sq ft ",,,"Ready to move,Furnished",
32,,7 - 8 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Landscaped Gardens,Sofa","Sports Facility,Jogging Track,AC,Wardrobe,TV,Refrigerator,Wifi,Dining Table,Gas connection,BED","1,650 sq ft",,,3 BHK Apartment ,,,,Salunke Vihar,Resale,,,,,10000000.0,"₹ 6,060/ sq ft ",,,"Ready to move,Unfurnished",
33,,4 - 5 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Golf Course,Cafeteria,Landscaped Gardens,Wardrobe","Sports Facility,Jogging Track,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","1,900 sq ft",,,3 BHK Apartment ,,,,Bibwewadi,Resale,,,,,14000000.0,"₹ 7,368/ sq ft ",,,"Ready to move,Unfurnished",
34,,2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,100 sq ft",,,2 BHK Apartment ,,,,Bibwewadi,Resale,,,,,12000000.0,"₹ 10,909/ sq ft ",,,"Ready to move,Unfurnished",
35,,6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,500 sq ft",,,3 BHK Apartment ,,,,NIBM,Resale,,,,,8500000.0,"₹ 5,666/ sq ft ",,,"Ready to move,Unfurnished",
36,,6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,600 sq ft",,,3 BHK Apartment ,,,,NIBM Annex Mohammadwadi,Resale,,,,,8500000.0,"₹ 5,312/ sq ft ",,,"Ready to move,Unfurnished",
37,,5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,550 sq ft",,,3 BHK Apartment ,,,,Kondhwa,Resale,,,,,8300000.0,"₹ 5,354/ sq ft ",,,"Ready to move,Unfurnished",
38,,,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",550 sq ft,1,1,2 BHK Apartment ,,,,Manjari,Resale,,,,,2500000.0,"₹ 4,545/ sq ft ",Nandini Atharva,,"Ready to move,Unfurnished",
39,,6 - 7 years,Car Parking,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","2,050 sq ft",,,4 BHK Apartment ,,,,Uday Baug,Resale,,,,,17000000.0,"₹ 8,292/ sq ft ",,,"Ready to move,Unfurnished",
40,,5 - 6 years,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",935 sq ft,1,2,2 BHK Apartment ,780 sq ft,,,Ganesh Nagar,Resale,,,,,12500000.0,"₹ 13,368/ sq ft ",Builder Gomati Apartment,,"Ready to move,Unfurnished",
41,,12 - 13 years,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",600 sq ft,1,1,1 BHK Apartment ,,,,Sasane Nagar,Resale,,,,,2600000.0,"₹ 4,333/ sq ft ",Builder omdisha,,"Ready to move,Unfurnished",
42,1 rooms( pooja room ),11 - 12 years,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",670 sq ft,1,1,1 BHK Apartment ,,,,Hadapsar,Resale,,,,,3000000.0,"₹ 4,477/ sq ft ",,,"Ready to move,Unfurnished",
43,,0 - 1 year,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",780 sq ft,1,1,2 BHK Apartment ,,,,Hadapsar,Resale,,,,,4200000.0,"₹ 5,384/ sq ft ",Builder yash raj green castle,,"Ready to move,Unfurnished",
44,,11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Swimming Pool,Jogging Track,Landscaped Gardens","Gymnasium,Sports Facility","1,008 sq ft",,,2 BHK Apartment ,,,,Mundhwa,Resale,,,,,6700000.0,"₹ 6,646/ sq ft ",Oxford Florida Estate,,"Ready to move,Unfurnished",
45,,2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",,"1,505 sq ft",,,3 BHK Apartment ,,,,Wagholi,New,,,,,7000000.0,"₹ 4,651/ sq ft ",Belvalkar Solacia,,Ready to move,
46,,2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track",623 sq ft,,,1 BHK Apartment ,,,,Wagholi,New,,,,,3000000.0,"₹ 4,815/ sq ft ",,,Ready to move,
47,,1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Multipurpose Room,Landscaped Gardens",Gymnasium,"1,150 sq ft",,,2 BHK Apartment ,805 sq ft,,,Hinjewadi,Resale,,,,,6500000.0,"₹ 5,652/ sq ft ",Saarrthi Sovereign,,"Ready to move,Unfurnished",
48,,2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting","Sports Facility,Landscaped Gardens","1,800 sq ft",,,3 BHK Villa ,,,,Manjari,Resale,,,,,11000000.0,"₹ 6,111/ sq ft ",Magnus Manjri Greens 5,,"Ready to move,Unfurnished",
49,,1 - 2 years,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",780 sq ft,,,2 BHK Apartment ,,,"3, ",Kale Padal,Resale,,,,,4200000.0,"₹ 5,384/ sq ft ",Builder yashraj green castle,20 feet,"Ready to move,Unfurnished",5
50,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens,Wardrobe","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","1,100 sq ft",,,2 BHK Apartment ,,,,Bibwewadi,Resale,,,,,6500000.0,"₹ 5,909/ sq ft ",,,"Ready to move,Unfurnished",
51,,1 year,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",650 sq ft,1,1,1 BHK Apartment ,,,,Kale Padal,Resale,,,,,3000000.0,"₹ 4,615/ sq ft ",Builder dreams ville,,"Ready to move,Unfurnished",
52,,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Jogging Track,Rain Water Harvesting,Gas connection","Swimming Pool,Sports Facility,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","1,155 sq ft",,2,2 BHK Apartment ,,East,"2, ",Hinjewadi,New,2,Corner,Freehold,,6443000.0,"₹ 5,578/ sq ft ",Paras Delicia,,Ready to move,4
53,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Wifi","AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","1,350 sq ft",1,3,3 BHK Apartment ,1050 sq ft,East,"7, ",Baner Pashan Link Road,New,2,"Corner, Garden View, Pool View, Road View",Freehold,Dec 2019,11110000.0,"₹ 8,229/ sq ft ",Builder Solitaire vtp group,50 feet,Under Construction,13
54,"2 rooms( study room, pooja room )",1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track","1,170 sq ft",2,2,2 BHK Apartment ,1000 sq ft,East,"1, ",Model Colony,New,3,"Corner, Garden View, Road View",Freehold,,17000000.0,"₹ 14,529/ sq ft ",Builder 2 bhk at model colony,25 feet,Ready to move,5
55,1 rooms( servant room ),0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Multipurpose Room,Landscaped Gardens,Wifi,Gas connection","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED","2,205 sq ft",2,3,3 BHK Apartment ,1450 sq ft,West,"10, ",Baner,New,3,"Corner, Garden View, Pool View, Road View",Freehold,,25000000.0,"₹ 11,337/ sq ft ",Pride Park Grandeur,100 feet,Ready to move,15
56,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Landscaped Gardens",,745 sq ft,1,1,2 BHK Apartment ,,NorthEast,"1, ",Kharadi,New,2,"Road View, Garden View",Freehold,Jul 2019,4339629.0,"₹ 5,825/ sq ft ",Duville Estates Riverdale Heights,,Under Construction,23
57,,,"Lift Available,Car Parking,Children's play area,Club House,Gymnasium,Swimming Pool,Jogging Track,Multipurpose Room,Landscaped Gardens","Power Backup,24 X 7 Security,Sports Facility",416 sq ft,1,1,1 BHK Apartment ,,NorthEast,"1, ",Hinjewadi,New,2,"Road View, Garden View",Freehold,Dec 2020,3220000.0,"₹ 7,740/ sq ft ",Geras Adara,,Under Construction,24
58,,,"Lift Available,Car Parking,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Jogging Track,Multipurpose Room,Landscaped Gardens","Power Backup,Sports Facility",606 sq ft,1,1,2 BHK Apartment ,,NorthEast,"1, ",Hinjewadi,New,2,"Road View, Garden View",Freehold,Dec 2020,4970000.0,"₹ 8,201/ sq ft ",Geras Adara,,Under Construction,24
59,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Landscaped Gardens",Sports Facility,624 sq ft,1,1,1 BHK Apartment ,465 sq ft,North,"8, ",Kharadi,New,1,"Corner, Garden View",Co-Operative Society,Nov 2019,5600000.0,"₹ 8,974/ sq ft ",,60 feet,Under Construction,23
60,1 rooms( study room ),17 years,"Lift Available,24 X 7 Security","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",700 sq ft,1,1,1 BHK Apartment ,,,"4, ",Bhawani Peth,Resale,1,,,,4800000.0,"₹ 6,857/ sq ft ",Malkani Amol Sagar,,"Ready to move,Unfurnished",6
61,"2 rooms( study room, pooja room )",6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Washing Machine,Dining Table,Gas connection,BED","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Wifi","1,500 sq ft",2,3,3 BHK Apartment ,1200 sq ft,East,"3, ",Erandwane,Resale,3,"Corner, Garden View, Road View",Freehold,,21000000.0,"₹ 14,000/ sq ft ",Builder 3 bhk at Eradwane,30 feet,"Ready to move,Furnished",5
62,,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Multipurpose Room,Landscaped Gardens,Shopping Mall,Gas connection","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","1,170 sq ft",1,2,2 BHK Apartment ,819 sq ft,South,"12, ",Kothrud,New,3,"Corner, Garden View, Pool View, Road View",Co-Operative Society,,10100000.0,"₹ 8,632/ sq ft ",Beharay Rathi Group Hillview Residency,60 feet,Ready to move,16
63,1 rooms( study room ),0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Multipurpose Room,Landscaped Gardens,AC,Wifi,Microwave","Sports Facility,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","2,300 sq ft",3,3,3 BHK Apartment ,1700 sq ft,SouthEast,"10, ",Baner,New,3,"Corner, Garden View, Pool View, Road View",Freehold,,24500000.0,"₹ 10,652/ sq ft ",Pride Park Grandeur,100 feet,Ready to move,15
